16,32 Phố Khâm Thiên - 316 Phố Khâm Thiên,36,0102000020E6100000040000002E61AD8BB6755A402DA6D51EDB043540BCF4B1628E755A40E4A5D5F2E3043540B47BD3ED72755A40FEFA2A4EEB0435402ED208F94E755A406C68864AF4043540,go,16,15
17,316 Phố Khâm thiên- 94 Ô Chợ Dừa,36,0102000020E61000000E000000230F38E84E755A4020D6E172F40435405534C1473B755A40EE12B112F904354048281EE136755A40D7C91E7FF70435407ADF4BEC2B755A40EEEE272EE7043540253541E621755A404F2CF725DA043540760415781F755A4013E364FCDC04354013663DBE1C755A40D281EC89D40435408CBB026018755A40B87509CBD10435400E9779EE15755A402C514001D1043540FD8A161512755A4072A615D8D2043540BB72B0850E755A400A20F4A4DC043540F1AFBF7406755A4003074ECFF0043540E6666D3903755A40A6800C3BF9043540F5F9F19DEB745A40EEF80A232C053540,go,6,16
18,94 Ô Chợ Dừa - 35 Hoàng Cầu,36,0102000020E61000000500000001BD1A9DEB745A40EEF80A232C053540F09839FFDB745A4073DFE4A54E0535403A68ED64DA745A40ED898F88540535405F2BDE6CD7745A40FD58831A5A053540412C0EB3BB745A40E2E5541E85043540,go,7,6
19,35 Hoàng Cầu - 105 Hoàng Cầu,36,0102000020E610000009000000432C0EB3BB745A40770A3E1485043540BBFB9982B4745A40BE6D96594E043540188E3E25B2745A405E3D8A4342043540B5EF1648AF745A40DA0C7E973A043540942023EBAB745A40B83D8A3A37043540B0F0166290745A40E2861C9936043540872153FC8D745A40CF3D4A78340435406A1510848B745A40D16E56B12C043540C5832B4277745A40F20F7E7BD9033540,go,8,7
20,105 Hoàng Cầu - Thái Hà,36,0102000020E6100000040000000E16203D77745A40B5400A6ED90335402278780766745A406B985F208F033540B8462C7F7A745A40E03807E250033540B8462C7F7A745A40E03807E250033540,go,17,8
21,176 Thái Hà - 56 Thái hà,36,0102000020E6100000090000004DA894877A745A40BB2C64E550033540CF15500881745A4098BF08153F0335406A461CF285745A4077155E292E0335404EC0BA5D86745A409F522DC02703354027CCBD1C91745A4031DACE88F902354077E4034B93745A40140B9B9EF5023540ABFCC9C898745A404FAAC2FFDD0235403D2D16CD9E745A4064B7451FC2023540B751DFCBA1745A405CDC0EABB5023540,go,18,17
22,56 Thái hà - 21 Chùa Bộc,36,0102000020E61000000D0000002C2DF6D5A1745A406C9FDFBBB502354002F0C685A8745A403EA01FCD9B023540D5B2377CAF745A40593F070B8802354005455CA3B2745A40C70EBB0682023540BB75A83DB4745A4043DEAE5A7A023540E2501FD5BC745A40894C0ADB680235403CEFC6CCC0745A400859CD2F5F02354083CA7D87C5745A40458A993C5002354001B2F76AC9745A40774DCA9C4B0235408A5CE2A5CD745A4036BBA5AA4A023540F0FAC9F5CF745A40858A198348023540E4C93DD7D8745A4064E06E97370235406A7EAB4D22755A40578FD9E1B1013540,go,24,18
23,21 Chùa Bộc - 18 Phạm Ngọc Thạch,36,0102000020E61000000D0000004335D96122755A40568FD9E1B1013540E0AE17E82B755A406BF1F11EA0013540E534B93E2E755A4036163B2F99013540EB7D4B0732755A407AD96B5A92013540A070C88654755A40B8430735FF013540A6F669DD56755A40E4A41F230A0235406A70C8255B755A403898DC52190235400458C2B95B755A409AF9F4A11D0235405032D9137F755A40E1F5F49A92023540DF19F30881755A40CDF5941695023540664ABF2788755A4017B825E1AC023540BC62258289755A4009873909B60235404887EE4B8A755A4023931CC8B8023540,return,21,24
24,18 Phạm Ngọc Thạch - 394 Lê Duẩn,36,0102000020E6100000120000001D7B4B4F8A755A40A03104E3B8023540F7B7FA8D8D755A40DD92BCE2C102354075DC83FF8F755A402D6EF382C5023540184ADF5C92755A4098DBEEC5CE023540216285189D755A409363E0739302354008626521A0755A40FDA08F0A85023540BF55A22DA3755A4002C698EE76023540A255C2C3A6755A40A00F4B3B680235404355025AB2755A406C2991103C0235404524B693B9755A40A205088D230235401E6DC8E0C2755A4010B132A40B023540861773F8CA755A40652B9144FE01354058CE2027CC755A40F943172CF8013540296085E4DA755A4097D6FB87ED01354058A9D7B5D9755A400867E04E270235400D1733DED9755A4044D4FB5C36023540E80A7080D8755A402BA32FE640023540AB3BFC72D8755A40A3DEFE746F023540,return,22,21
25,394 Lê Duẩn - 326 Lê Duẩn,36,0102000020E610000002000000AB3BFC72D8755A401D7DE68F6F023540D347CF66D9755A40155B00AD9D033540,return,23,22
26,326 Lê Duẩn - 32 Phố Khâm Thiên,36,0102000020E610000007000000BBC17D68D9755A40D98BDCC29D033540AFFEAC57D9755A40C875292CD3043540892FF987D6755A40C875292CD30435407BA9D74BD5755A40B6752961D504354012FF2C34CD755A40DC81ECBED60435407854422ECB755A402151E0B1D50435409AF34998B6755A40A0FB4A07DB043540,return,15,23
